data,post_list,sum_list
14,0.0,0.0
11,0.0,0.0
11,1.0,0.0
16,1.0,1.0
18,0.0,2.0
11,0.0,2.0
18,0.0,2.0
6,-1.0,2.0
12,-2.0,1.0
16,-3.0,-1.0
13,-3.0,2.0
19,-2.0,5.0
4,-2.0,3.0
5,-2.0,5.0
8,-2.0,3.0
6,-3.0,1.0
9,-3.0,4.0
15,-2.0,7.0
10,-2.0,5.0
24,-3.0,3.0
8,-4.0,0.0
10,-5.0,-4.0
6,-6.0,-9.0
18,-7.0,-15.0
12,-8.0,-22.0
12,-9.0,-30.0
6,-10.0,-39.0
10,-11.0,-49.0
11,-11.0,-38.0
11,-10.0,-27.0
6,-10.0,-37.0
8,-11.0,-47.0
5,-11.0,-36.0
13,-10.0,-25.0
2,-10.0,-35.0
20,-11.0,-45.0
11,-11.0,-34.0
20,-11.0,-45.0
14,-12.0,-56.0
12,-13.0,-68.0
19,-13.0,-55.0
20,-13.0,-68.0
5,-13.0,-55.0
11,-12.0,-42.0
14,-12.0,-54.0
12,-13.0,-66.0
11,-13.0,-53.0
16,-13.0,-66.0
8,-14.0,-79.0
7,-14.0,-65.0
12,-14.0,-79.0
21,-14.0,-65.0
18,-14.0,-79.0
17,-14.0,-65.0
9,-13.0,-51.0
13,-12.0,-38.0
1,-11.0,-26.0
13,-10.0,-15.0
4,-10.0,-25.0
14,-11.0,-35.0
13,-11.0,-24.0
9,-10.0,-13.0
7,-9.0,-3.0
18,-9.0,-12.0
10,-10.0,-21.0
13,-10.0,-11.0
6,-10.0,-21.0
14,-11.0,-31.0
21,-11.0,-20.0
11,-10.0,-9.0
13,-9.0,1.0
20,-9.0,-8.0
10,-10.0,-17.0
22,-11.0,-27.0
18,-12.0,-38.0
21,-12.0,-26.0
4,-12.0,-38.0
19,-12.0,-26.0
15,-11.0,-14.0
19,-10.0,-3.0
18,-10.0,-13.0
13,-10.0,-3.0
8,-10.0,-13.0
19,-10.0,-3.0
10,-10.0,-13.0
12,-11.0,-23.0
13,-11.0,-12.0
13,-10.0,-1.0
19,-9.0,9.0
7,-8.0,18.0
18,-8.0,10.0
9,-8.0,18.0
13,-7.0,26.0
5,-6.0,33.0
21,-5.0,39.0
22,-5.0,34.0
9,-5.0,39.0
6,-5.0,34.0
12,-6.0,29.0
5,-6.0,35.0
22,-6.0,29.0
8,-7.0,23.0
8,-8.0,16.0
15,-8.0,24.0
10,-8.0,16.0
18,-9.0,8.0
18,-10.0,-1.0
12,-11.0,-11.0
14,-12.0,-22.0
13,-12.0,-10.0
20,-12.0,-22.0
19,-12.0,-10.0
14,-12.0,-22.0
20,-13.0,-34.0
10,-14.0,-47.0
14,-15.0,-61.0
22,-16.0,-76.0
16,-17.0,-92.0
8,-18.0,-109.0
7,-18.0,-91.0
12,-18.0,-109.0
12,-19.0,-127.0
18,-20.0,-146.0
23,-20.0,-126.0
15,-19.0,-106.0
